id,event_id,full_name,ttl,nik,email,password,status,payment_status,payment_account,created_at
1,5,Rama Wijaya,1998-10-07,3276012477528345,rama.wijaya@mail.com,rama_wijaya,REJECTED,UNVERIFIED,7677546109,2025-05-16
2,5,Shinta Maharani,2005-10-23,3276017988751635,shinta.maharani@mail.com,shinta_maharani,CANCELLED,VERIFIED,2279104162,2025-05-14
3,1,Antasena Pratama,1999-06-15,3276014811269374,antasena.pratama@mail.com,antasena_pratama,REJECTED,UNVERIFIED,3044641711,2025-05-15
4,1,Sembadra Ayu,2004-09-26,3276011050942194,sembadra.ayu@mail.com,sembadra_ayu,REJECTED,UNVERIFIED,2076059292,2025-05-15
5,4,Leksmana Danu,1998-04-08,3276016751199601,leksmana.danu@mail.com,leksmana_danu,APPROVED,UNVERIFIED,2626408395,2025-05-19
6,4,Sri Dewi,2005-02-21,3276015621744543,sri.dewi@mail.com,sri_dewi,REJECTED,FAILED,6619145250,2025-05-14
7,1,Abimanyu Wira,2003-11-17,3276014434345628,abimanyu.wira@mail.com,abimanyu_wira,REJECTED,FAILED,3318966088,2025-05-16
8,5,Trijata Sekar,2003-09-16,3276018936834826,trijata.sekar@mail.com,trijata_sekar,REJECTED,VERIFIED,1877670796,2025-05-16
9,1,Utari Cempaka,1999-08-23,3276012483501113,utari.cempaka@mail.com,utari_cempaka,APPROVED,UNVERIFIED,2836594968,2025-05-15
10,5,Bharata Tama,1998-10-09,3276019954488747,bharata.tama@mail.com,bharata_tama,CANCELLED,UNVERIFIED,5326345070,2025-05-19
11,4,Wulan Cahya,2000-03-31,3276015226052791,wulan.cahya@mail.com,wulan_cahya,PENDING,UNVERIFIED,7654154444,2025-05-17
12,1,Dananjaya Kusuma,2003-12-04,3276014094176170,dananjaya.kusuma@mail.com,dananjaya_kusuma,PENDING,FAILED,1606618521,2025-05-15
13,1,Indira Larasati,2005-11-11,3276013177170076,indira.larasati@mail.com,indira_larasati,REJECTED,UNVERIFIED,7617031145,2025-05-14
14,1,Jagat Arya,2002-09-19,3276018099881406,jagat.arya@mail.com,jagat_arya,REJECTED,FAILED,3921573001,2025-05-19
15,3,Tamara Sari,1999-08-18,3276014396731922,tamara.sari@mail.com,tamara_sari,CANCELLED,VERIFIED,8073089134,2025-05-19
16,1,Surya Atmaja,2000-11-19,3276015454619368,surya.atmaja@mail.com,surya_atmaja,APPROVED,UNVERIFIED,8778429750,2025-05-14
17,4,Cahya Purnama,1999-07-20,3276015950990530,cahya.purnama@mail.com,cahya_purnama,APPROVED,FAILED,8899536570,2025-05-17
18,3,Nadira Citra,2000-03-23,3276019606781279,nadira.citra@mail.com,nadira_citra,REJECTED,UNVERIFIED,5659210497,2025-05-17
19,1,Galang Raka,2001-03-07,3276015541697069,galang.raka@mail.com,galang_raka,PENDING,UNVERIFIED,3190645241,2025-05-18
20,3,Karina Melati,2000-03-14,3276016546617039,karina.melati@mail.com,karina_melati,REJECTED,UNVERIFIED,8605100176,2025-05-19

